raw_source,standard_source
"Air Liquide Europe Business Services (ALEBS) Unipessoal Lda",air_liquide
"Logoplaste Consultores Técnicos S.A.",logoplaste
"Mercedes-Benz Portugal, SA",mercedes_benz
"Schreder Iluminação S.A.",schreder
"Rational Iberica (Portugal)",rational
"Sikla Lusa, Lda",sikla
"SFPorteq AB",sfporteq
"SF Terminal Solutions Pte Ltd",sf_terminal
"Wilhelmsen Ships Service Portugal, S.A.",wilhelmsen
"ABS, Lda",abs
"BPES, S.A.- Sucursal em Portugal (em liquidação)",bpes
"Eqty Capital",eqty_capital
"Sunstone Life Science Ventures A/S",sunstone
"Trilantic Europe S.A.R.L.",trilantic
"Product League BV",product_league
"Intent HQ Limited",intent_hq
"Cit Global SA",cit_global
"Cosec, Companhia de Seguro de Créditos, S.A",cosec
"Banco Santander Totta, SA",santander
"Villas-Boas - ACP - Corretores Associados de Seguros, S.A",villas_boas_acp
"Ac Cosmetics SA",ac_cosmetics
"IFC Skincare Portugal",ifc_skincare
"Nivelfarma- Companhia de Produtos Farmacêuticos Lda",nivelfarma
"GlaxoSmithKline - Produtos Farmacêuticos, Lda",gsk
"Luz Saúde ACE",luz_saude
"Diagnostica Longwood SL",diagnostica_longwood
"Triagem Vital S.A.",triagem_vital
"Enartis Portugal Unip. Lda.",enartis
"Longa Vida – Industrias Lacteas, SA",longa_vida
"Air Liquide Europe Business Services (ALEBS) Unipessoal Lda",air_liquide
"Avic - Autocarros e Viagens Irmãos Cunha, Lda",avic
"TAP Air Portugal",tap
"Air Canada Aeroplan Reward",air_canada
"Embassy of India",embassy_of_india
"European Council on Foreign Relations",ecfr
"Institut Montaigne",institut_montaigne
"Instituto Politécnico de Setúbal",ips
"Município de Setúbal",municipio_setubal
"Associação Turismo de Lisboa",turismo_lisboa
"Associação da Rota de Vinhos da Península de Setúbal/Costa Azul",rota_vinhos_setubal
"ViniPortugal – Associação Interprofissional para a Promoção dos Vinhos Portugueses",viniportugal
"Clube da Arrábida",clube_arrabida
"FPN, Lda",fpn
"Instituto Politécnico de Setúbal",ips
"Câmara Municipal de Setúbal",municipio_setubal
"Casa Ermelinda Freitas - Vinhos, SA",casa_ermelinda_freitas
"José Maria Fonseca Vinhos, S.A.",jose_maria_fonseca
"Bacalhôa Vinhos de Portugal, SA",bacalhoa
"Aveleda, S.A.",aveleda
"Excelência de Portugal",excelencia_portugal
"Catavino Tours",catavino
"Doc DMC - Services, Events & Wine",doc_dmc
"Wine & Dine Travels B.V.",wine_dine_travels
"Birds & Nature Tours Portugal",birds_nature_tours
"Caminhos da Natureza - Turismo da Natureza Lda",caminhos_natureza
"Landescape Walks",landescape_walks
"Bike In Portugal",bike_in_portugal
"Bike Tours Portugal",bike_tours_portugal
"Pura Aventura",pura_aventura
"Hashtag Golf Travel",hashtag_golf
"Pag Serviços Golfs, Lda",pag_golf
"Mirpuri Sailing Trophy",mirpuri_sailing
"Yoga & Arts Retreat",retreat
"Retreat 4 dias",retreat
"Retreat 6 dias",retreat
"People & Experiences, Lda",people_experiences
"Go Get It Events & Travel",go_get_it
"Wise Events Lda",wise_events
"Freestyle Events SL",freestyle_events
"Prime Promotion, Lda",prime_promotion
"Headbox, SA",headbox
"New Sheet - Brand Activation Lda",new_sheet
"Guess What Comunicação, Lda",guess_what
"ThinkPR",thinkpr
"MFigueiredo Events, Lda",mfigueiredo_events
"Worldwide Concept Group",worldwide_concept
"Jungle Concept SA",jungle_concept
"Never Ending Stories, Lda",never_ending_stories
"And This Is Reality, Unipessoal Lda",and_this_is_reality
"Temas Idilycos",temas_idilycos
"Narrativa Traçada, Lda",narrativa_tracada
"Buy The Way Lda",buy_the_way
"SecretPlaces Lda",secretplaces
"PortugalTrails - Viagens e Turismo, Unipessoal Lda",portugaltrails
"Faes Morazzo, Unipessoal Lda",faes_morazzo
"VS In And Out S.L.",vs_in_and_out
"The Spanish Touch",the_spanish_touch
"Knecht Reisen AG",knecht_reisen
"Iscar Travel Services S.L.",iscar_travel
"Caractere NV",caractere
"Tee Off Travel",tee_off_travel
"Pippa Rose Lifestyle Ltd",pippa_rose
"I.L. Solutions Unipessoal Lda.",il_solutions
"Paradise Experience, SA",paradise_experience
"Traveluxury",traveluxury
"Azradical, Lda",azradical
"Geotoura GmbH",geotoura
"Schindler SA.",schindler
"Devyn Perry Travel",devyn_perry_travel
"New Tempo VIP Spain SL",new_tempo_vip
"Ger Imotion",ger_imotion
"Casa Palmela - Vouchers",casa_palmela
"Leonard Millot Unipessoal Lda",leonard_millot
"ALS - Aviation & Logistics Portugal Lda",als
"Tailormade Andalucia SI.",tailormade_andalucia
"The Travel Club",travel_club
"Aspera Explorations Travel Agency Ltd",aspera_explorations
"Parris Wellness",parris_wellness
"New Tempo VIP, Lda",new_tempo_vip
"LMHM, Lda",lmhm
"Andreia Ingles Oliveira (Malagueta Viagens)",malagueta_viagens
"Eclectus Travel LLC",eclectus_travel
"4 Partes",4_partes
"Vanguartour, Travel & Events, Lda.",vanguartour
"Ingamba - Sociedade Unipessoal Lda",ingamba
"Portimar",portimar
"Bontur Travel & Experiences",bontur
"Traveltailors, Lda",traveltailors
"Handmade Vacations",handmade_vacations
"Planet Escape Sp. Z O.O. Sp. K.",planet_escape
"Atlantida Viatges S.A.",atlantida_viatges
"Lux And Unique, Lda",lux_and_unique
"The Travel Corner",travel_corner
"Viajan",viajan
"Icastelli",icastelli
"Turistrader, Sociedade de Desenvolvimento Turístico, Lda.",turistrader
"Zaineb Santos Unipessoal Lda",zaineb_santos
"Persona Grata",persona_grata
"Letango Tours",letango_tours
"Van Rompaey Travel BVBA",van_rompaey
"Colour Travel Consultants",colour_travel
"Pausan S.L.",pausan
"Doc DMC - Services, Events & Wine",doc_dmc
"Elite Global Journeys",elite_global_journeys
"Bespoke Travel Spain",bespoke_travel
"Belo Viaje LTN México",belo_viaje
"Tailored Experiences S.L.",tailored_experiences
"Younique Tailor Tours, Lda",younique_tailor_tours
"IGO Purplee Unipessoal",igo_purplee
"CPAL _ Bloqueio",cpal
"Birds & Nature Tours Portugal",birds_nature_tours
"Evasions Lointaines, Lda",evasions_lointaines
"Landescape Walks",landescape_walks
"Place Concierge Ltd",place_concierge
"Pura Aventura",pura_aventura
"Madrid And Beyond S.L.",madrid_and_beyond
"Fur Away Journey Pte Ltd",fur_away_journey
"Travel Simplicity LLC",travel_simplicity
"Fernanda Maisonnave Travel Co",fernanda_maisonnave
"Bike Tours Portugal",bike_tours_portugal
"Viagens Marranita, Summerspecies - Travel Unipessoal Lda",marranita_travel
"Dâmaso E Lucas, Viagens E Turismo Unipessoal Lda",damaso_lucas
"Navigate Viagens E Turismo Ltda",navigate_viagens
"Multitravel Agência De Viagens E Turismo Ltda",multitravel
"Plantel Agência De Viagens E Turismo Ltda",plantel_viagens
"RASO – Viagens E Turismo, S.A",raso
"Gonet SRL",gonet
"Tradições D'Outrora, Lda",tradicoes_doutrora
"Yconic Travel Stúdio, Lda",yconic_travel
"Herdersweg Invest SL",herdersweg_invest
"Viagens Abreu S.A.",abreu
"AA BTS (BTS Travel)",bts_travel
"Stubborn Mule Travel",stubborn_mule
"Lisa Bikes, Limitada",lisa_bikes
"Osiris Travel – Viagens E Turismo Lda",osiris_travel
"Citur S.A.",citur
"GiraNostra - Tours & Travel",giranostra
"TUI Spain SLU",tui
"Table & Fun, Lda",table_and_fun
"Active Holidays BV",active_holidays
"Van Loon Travel Creations BV",van_loon
"United Partners",united_partners
"Cercle Des Vacances - Agence De Voyages Et S.A.S",cercle_des_vacances
"Domitur, Viagens E Turismo",domitur
"JB's World Travel Consultants",jbs_world_travel
"YTravel, Lda",ytravel
"Ana Sofia Correia Lda - The Boutique Traveler",boutique_traveler
"Hashtag Golf Travel",hashtag_golf
"Turaventur, Lda",turaventur
"Van Rompaey Travel BV",van_rompaey
"People & Experiences, Lda",people_experiences
"Contemplar Turismo",contemplar_turismo
"Altimonde Voyages SAS",altimonde_voyages
"Quench Trip Design",quench_trip_design
"Mr. Travel - Agência De Viagens, Lda",mr_travel
"XTravel",xtravel
"Voyages DOC",voyages_doc
"Moah Destinos Exclusivos S.L.",moah
"Lounge II Luxury - Agência De Viagens E Turismo, Lda.",lounge_luxury
"Viva SPRL SRL",viva
"TTW Brasil Operações Turísticas",ttw_brasil
"Vanillascenery Lda",vanillascenery
"Valesa Cultural Services SL",valesa
"FVO Travel",fvo_travel
"Mi Mundo Travel Planner, SL",mi_mundo_travel
